A RPTMYV3VC57P,A,59.02,806295,47587530,True,0.6871310,1
AA R735QTJ8XC9X,AA,14.35,8185550,117462642,True,0.7112737,3.0003
AADR UOFRJAZTL0TH,AADR,38.36,664,25471,False,0.9741345,1
AAIT V3Z1GERP1JZ9,AAIT,33.93,50,1696,False,0.9878898,1
AAL VM9RIYHM8ACL,AAL,43.88,6543850,287144138,True,0.9631326,1
AAMC VJV46QARHW85,AAMC,1089,8471,9224919,True,1.0000000,1
AAME R735QTJ8XC9X,AAME,3.65,700,2555,True,0.9746553,1
RNTA SB2PBIC0SCX1,AAN,34.23,351879,12044818,True,0.9871860,1
AAOI VK8WG1F4KGH1,AAOI,21.12,82772,1748144,True,1.0000000,1
AAON R735QTJ8XC9X,AAON,33.11,68692,2274392,True,0.9682546,0.666667
AAP SA48O8J43YAT,AAP,128.42,361147,46378497,True,0.9930362,1
AAPL R735QTJ8XC9X,AAPL,645.57,7831583,5055835037,True,0.9304792,0.142857
AAT UT927RDJ1T2D,AAT,34.86,79163,2759622,True,0.9032116,1
AAU TEMHQPA3FAZP,AAU,1.31,28090,36797,True,1.0000000,1
AAV TECN9RMENRDX,AAV,6.74,269528,1816618,True,1.0000000,1
AAWW TJ2ZLXWLWA5H,AAWW,37.88,143945,5452636,True,1.0000000,1
AAXJ U55LDE3TN4O5,AAXJ,62.76,121921,7651761,False,0.9236971,1
AC R735QTJ8XC9X,AB,26.03,373454,9721007,True,0.7161675,1
ABAX R735QTJ8XC9X,ABAX,43.51,270238,11758055,True,0.9639435,1
ABB S3MVQ2U3Z59H,ABB,23.78,711160,16911384,True,0.8652551,1
ABBV VCY032R250MD,ABBV,55.09,1857710,102341243,True,0.8706465,1
AAS R735QTJ8XC9X,ABC,72.49,1565973,113517382,True,0.9408668,1
ABCB R735QTJ8XC9X,ABCB,21.88,24547,537088,True,0.9678973,1
ABCD UIB7ED20G0V9,ABCD,2.08,1855,3858,True,1.0000000,1
ABCO S9OHIQOEVVQD,ABCO,51.03,108013,5511903,False,1.0000000,1
ABDC VQEG12Q3S7L1,ABDC,14.71,7214,106117,True,0.6494426,1
ABEV VLI70C8W35UT,ABEV,7.18,5067082,36381648,True,0.8758258,1
ABG SCZMM1XU565H,ABG,65.51,155192,10166627,True,1.0000000,1
ABGB VKTKU03O6AUD,ABGB,27.26,7909,215599,False,0.9660683,1
HYSQ R735QTJ8XC9X,ABIO,1.46,105833,154516,True,1.0000000,6.9979
ABM R735QTJ8XC9X,ABM,27.3,155251,4238352,True,0.9241258,1
ABMD R735QTJ8XC9X,ABMD,23.38,136128,3182672,True,1.0000000,1
ABR SXN14N49WSBP,ABR,7.23,23830,172290,True,0.7038779,1
ABRN VQKCPMX48QJP,ABRN,25,10473,261825,False,0.7565070,1
ABT R735QTJ8XC9X,ABT,40.05,1836470,73550623,True,0.9146280,1
ABTL RJCA0PEV7C6D,ABTL,13.62,118516,1614187,False,1.0000000,1
ABX R735QTJ8XC9X,ABX,16.05,3901280,62615544,True,0.9462388,1
ACAD SZ09HBEPQICL,ACAD,22,478889,10535558,True,1.0000000,1
ACAS R735QTJ8XC9X,ACAS,14.975,2168208,32468914,False,1.0000000,1
ACAT R735QTJ8XC9X,ACAT,37.57,188692,7089158,False,0.9714956,1
ACC T142WIKPMLPH,ACC,39.12,253603,9920949,True,0.8559351,1
ABD TB8EB3X5XR39,ACCO,6.15,391958,2410541,True,0.9954286,1
ACCU V3L973NBYZQD,ACCU,27.86,202,5627,False,1.0000000,1
ACL R735QTJ8XC9X,ACE,104.89,631805,66270026,False,0.9192804,1
ACET R735QTJ8XC9X,ACET,17.6,130394,2294934,True,0.9416311,1
ACFC T2L91KBTRCDH,ACFC,4.22,4661,19669,True,1.0000000,1
DSSI R735QTJ8XC9X,ACFN,1.95,518943,1011938,False,1.0000000,1
ACG R735QTJ8XC9X,ACG,7.39,270204,1996807,False,0.9015017,1
RCHI R735QTJ8XC9X,ACGL,57.81,226407,13088588,True,1.0000000,1
ACH SAG21CX51085,ACH,9.09,21743,197643,True,1.0000000,1
ACHC V18KR26TE3XH,ACHC,46.28,171738,7948034,True,1.0000000,1
ACHN TN4PRS1L7XWL,ACHN,2.87,463447,1330092,True,1.0000000,1
ACI R735QTJ8XC9X,ACI,3.53,3289968,11613587,False,1.0000000,10
ACIM V4HQY6PWHW11,ACIM,66.21,839,55550,False,0.9054689,1
TSAI R735QTJ8XC9X,ACIW,55.25,95766,5291071,True,1.0000000,0.333333
ACLS RWA0GXFPE739,ACLS,1.9,189971,360944,True,1.0000000,4
ACM TSHPE3QO7TD1,ACM,33.11,369641,12238813,True,1.0000000,1
CHKM UONN41X6723P,ACMP,63.37,315545,19996086,False,1,1
ACN S6HA7SVNXLYD,ACN,83.5,1462461,122115493,True,0.9198287,1
ACNB USLFHILH7P7P,ACNB,19.4,1,19,True,0.8821284,1
ACOR TG2OFNO1HAHX,ACOR,35.45,205674,7291143,True,1.0000000,1
ACP UTMUH2HW4DB9,ACP,17.76,45226,803213,True,0.6397647,1
ACPW RX1KZJOFJBL1,ACPW,2.79,9034,25204,False,1.0000000,1
ACRE V62UVLXOXNC5,ACRE,12.61,133440,1682678,True,0.7130243,1
ACRX UU1M6GZF9OPX,ACRX,8.295,519409,4308497,True,1.0000000,1
ACSF VNA72F0V27AD,ACSF,13.91,8606,119709,True,0.6511332,1
ACST VD3WRMY2LJL1,ACST,0.9,55960,50364,True,1.0000000,10
WPI R735QTJ8XC9X,ACT,208.99,825688,172560535,False,0.9782432,1
ACTG SKKDFY9LC5LX,ACTG,16.09,161969,2606081,True,0.9351490,1
ACTS TE3S8XBVYYXX,ACTS,2.03,203645,413399,False,1.0000000,1
ACU R735QTJ8XC9X,ACU,17.25,2107,36345,True,0.9241369,1
HDG R735QTJ8XC9X,ACUR,1.06,11392,12075,False,1.0000000,5
ACW T854SJL3AHYD,ACW,5.295,182664,967205,False,1.0000000,1
ACWI U1BQSAW6XI79,ACWI,60.84,262094,15945798,False,0.9142383,1
ACWV V0WRDXSSH205,ACWV,67.05,9451,633689,False,0.9216261,1
ACWX U1BQSAW6XI79,ACWX,48.8,364971,17810584,False,0.8998247,1
ACXM R735QTJ8XC9X,ACXM,22.285,566670,12628240,True,1.0000000,1
ACY R7GY04NLZWIT,ACY,16.5,1605,26482,True,1.0000000,1
BTWS R735QTJ8XC9X,ADAT,0.691,60423,41752,False,1.0000000,9.0009
ADBE R735QTJ8XC9X,ADBE,66.91,2230749,149259415,True,1.0000000,1
ADC R735QTJ8XC9X,ADC,31.02,24107,747799,True,0.8199072,1
ADTK R735QTJ8XC9X,ADEP,12.16,177498,2158375,False,1.0000000,1
ADES T2U42EMCG4TH,ADES,22.25,89312,1987192,True,1.0000000,1
ADGE UGWZLLEEJJOL,ADGE,2.18,1179,2570,False,1.0000000,1
ADHD VGRUO5YOUN39,ADHD,17.42,19605,341519,False,1,1
ADI R735QTJ8XC9X,ADI,52.69,783854,41301267,True,0.9085096,1
ADK TONUT0J1I6W5,ADK,4.09,22887,93607,False,0.9567625,1
ADM R735QTJ8XC9X,ADM,45.19,1565809,70758908,True,0.8947734,1
ADMP VMCPV8L4GJTX,ADMP,5.38,12200,65636,True,1.0000000,1
ADMS VPKWM9R1HKRP,ADMS,18.99,15213,288894,True,1.0000000,1
ADNC V6GN4X2207L1,ADNC,12.74,101187,1289122,False,1.0000000,1
AUD R735QTJ8XC9X,ADP,79.6,866840,69000464,True,0.9109471,1
ADRA SJNVOV70T9B9,ADRA,28.96,516,14943,False,0.9129539,1
ADRD SJNVOV70T9B9,ADRD,25.63,850,21785,False,0.8690061,1
ADRE SJNVOV70T9B9,ADRE,38.5,7834,301609,False,0.9220116,1
ADRU SJNVOV70T9B9,ADRU,25.88,300,7764,False,0.8605905,1
ADS S5CWVYVQSODH,ADS,266.15,361141,96117677,True,0.9836729,1
ADSK R735QTJ8XC9X,ADSK,54.87,1539630,84479498,True,1.0000000,1
ADT VAEFIDQD0UP1,ADT,33.69,1070707,36072118,False,0.9574522,1
ADTN R735QTJ8XC9X,ADTN,22.49,536463,12065052,True,0.9250336,1
ADUS UH5UMFOX8C4L,ADUS,23.74,24981,593048,True,1.0000000,1
ADVS R735QTJ8XC9X,ADVS,31.24,119033,3718590,False,0.9878321,1
ADX R735QTJ8XC9X,ADX,13.65,51580,704067,True,0.7253936,1
ADXS VKTKU03O6AUD,ADXS,3.22,94895,305561,True,1,1
ADXSW VKTKU03O6AUD,ADXSW,1.2,3228,3873,False,1.0000000,1
ADZ 2T,ADZ,25.41,2000,50820,False,1.0000000,1
