A RPTMYV3VC57P,A,58.9,845485,49799066,True,0.6871310,1
AA R735QTJ8XC9X,AA,14.23,4018887,57188762,True,0.7112737,3.0003
AAIT V3Z1GERP1JZ9,AAIT,34.31,400,13724,False,0.9878898,1
AAL VM9RIYHM8ACL,AAL,43.66,5063103,221055076,True,0.9631326,1
AAMC VJV46QARHW85,AAMC,1077.69,2655,2861266,True,1.0000000,1
AAME R735QTJ8XC9X,AAME,3.7,6973,25800,True,0.9746553,1
RNTA SB2PBIC0SCX1,AAN,34.67,321648,11151536,True,0.9871860,1
AAOI VK8WG1F4KGH1,AAOI,22.28,123934,2761249,True,1.0000000,1
AAON R735QTJ8XC9X,AAON,32.87,45486,1495124,True,0.9720154,0.666667
AAP SA48O8J43YAT,AAP,126.95,320477,40684555,True,0.9930362,1
AAPL R735QTJ8XC9X,AAPL,94.25,31500841,2968954264,True,0.9304792,1
AAT UT927RDJ1T2D,AAT,34.29,103598,3552375,True,0.9032116,1
AAU TEMHQPA3FAZP,AAU,1.32,57408,75778,True,1.0000000,1
AAV TECN9RMENRDX,AAV,6.76,179196,1211364,True,1.0000000,1
AAWW TJ2ZLXWLWA5H,AAWW,38.45,116922,4495650,True,1.0000000,1
AAXJ U55LDE3TN4O5,AAXJ,63.26,225311,14253173,False,0.9236971,1
AC R735QTJ8XC9X,AB,25.63,88389,2265410,True,0.7161675,1
ABAX R735QTJ8XC9X,ABAX,43.51,87267,3796987,True,0.9639435,1
ABB S3MVQ2U3Z59H,ABB,23.75,792593,18824083,True,0.8652551,1
ABBV VCY032R250MD,ABBV,53.96,4908242,264848738,True,0.8706465,1
AAS R735QTJ8XC9X,ABC,72.02,1175124,84632430,True,0.9408668,1
ABCB R735QTJ8XC9X,ABCB,22.05,17127,377650,True,0.9678973,1
ABCD UIB7ED20G0V9,ABCD,2.01,36656,73678,True,1.0000000,1
ABCO S9OHIQOEVVQD,ABCO,50.95,66480,3387156,False,1.0000000,1
ABDC VQEG12Q3S7L1,ABDC,14.64,12401,181550,True,0.6494426,1
ABEV VLI70C8W35UT,ABEV,7.24,4796112,34723850,True,0.8758258,1
ABG SCZMM1XU565H,ABG,65.5,161831,10599930,True,1.0000000,1
ABGB VKTKU03O6AUD,ABGB,27.32,4312,117803,False,0.9660683,1
HYSQ R735QTJ8XC9X,ABIO,1.49,87980,131090,True,1.0000000,6.9979
ABM R735QTJ8XC9X,ABM,26.985,173958,4694256,True,0.9241258,1
ABMD R735QTJ8XC9X,ABMD,23.16,108468,2512118,True,1.0000000,1
ABR SXN14N49WSBP,ABR,7.2,50689,364960,True,0.7038779,1
ABRN VQKCPMX48QJP,ABRN,25,3278,81950,False,0.7565070,1
ABT R735QTJ8XC9X,ABT,40.53,3306961,134031129,True,0.9146280,1
ABTL RJCA0PEV7C6D,ABTL,14.01,79905,1119469,False,1.0000000,1
ABX R735QTJ8XC9X,ABX,16.26,3752008,61007650,True,0.9462388,1
ACAD SZ09HBEPQICL,ACAD,23.1,733321,16939715,True,1.0000000,1
ACAS R735QTJ8XC9X,ACAS,15.03,1273155,19135519,False,1.0000000,1
ACAT R735QTJ8XC9X,ACAT,36.2,127805,4626541,False,0.9714956,1
ACC T142WIKPMLPH,ACC,38.24,298605,11418655,True,0.8559351,1
ABD TB8EB3X5XR39,ACCO,6.31,352089,2221681,True,0.9954286,1
ACL R735QTJ8XC9X,ACE,104.99,456221,47898642,False,0.9192804,1
ACET R735QTJ8XC9X,ACET,17.44,161631,2818844,True,0.9448159,1
ACFC T2L91KBTRCDH,ACFC,4.09,2915,11922,True,1.0000000,1
DSSI R735QTJ8XC9X,ACFN,2.61,693824,1810880,False,1.0000000,1
ACG R735QTJ8XC9X,ACG,7.41,264784,1962049,False,0.9015017,1
RCHI R735QTJ8XC9X,ACGL,57.66,171187,9870642,True,1.0000000,1
ACH SAG21CX51085,ACH,9.27,18624,172644,True,1.0000000,1
ACHC V18KR26TE3XH,ACHC,45.72,244268,11167932,True,1.0000000,1
ACHN TN4PRS1L7XWL,ACHN,7.78,32991929,256677207,True,1.0000000,1
ACI R735QTJ8XC9X,ACI,3.51,1774015,6226792,False,1.0000000,10
ACIM V4HQY6PWHW11,ACIM,65.82,630,41466,False,0.9054689,1
TSAI R735QTJ8XC9X,ACIW,56.57,163592,9254399,True,1.0000000,0.333333
ACLS RWA0GXFPE739,ACLS,1.92,217702,417987,True,1.0000000,4
ACM TSHPE3QO7TD1,ACM,33.44,283969,9495923,True,1.0000000,1
CHKM UONN41X6723P,ACMP,64.33,115179,7409465,False,1,1
ACN S6HA7SVNXLYD,ACN,83.65,1114007,93186685,True,0.9198287,1
ACNB USLFHILH7P7P,ACNB,19.5,3033,59143,True,0.8821284,1
ACOR TG2OFNO1HAHX,ACOR,34.35,341504,11730662,True,1.0000000,1
ACP UTMUH2HW4DB9,ACP,17.78,30720,546201,True,0.6441070,1
ACPW RX1KZJOFJBL1,ACPW,2.8,5000,14000,False,1.0000000,1
ACRE V62UVLXOXNC5,ACRE,12.6,123470,1555722,True,0.7130243,1
ACRX UU1M6GZF9OPX,ACRX,8.65,272298,2355377,True,1.0000000,1
ACSF VNA72F0V27AD,ACSF,13.83,21109,291937,True,0.6511332,1
ACST VD3WRMY2LJL1,ACST,0.9,84168,75751,True,1.0000000,10
WPI R735QTJ8XC9X,ACT,207.39,987824,204864819,False,0.9782432,1
ACTG SKKDFY9LC5LX,ACTG,16.5,112996,1864434,True,0.9351490,1
ACTS TE3S8XBVYYXX,ACTS,2.14,30600,65484,False,1.0000000,1
ACU R735QTJ8XC9X,ACU,17.38,543,9437,True,0.9241369,1
HDG R735QTJ8XC9X,ACUR,1,49236,49236,False,1.0000000,5
ACW T854SJL3AHYD,ACW,5.21,126232,657668,False,1.0000000,1
ACWI U1BQSAW6XI79,ACWI,60.86,207565,12632405,False,0.9142383,1
ACWV V0WRDXSSH205,ACWV,67.06,112326,7532581,False,0.9216261,1
ACWX U1BQSAW6XI79,ACWX,48.78,100673,4910828,False,0.8998247,1
ACXM R735QTJ8XC9X,ACXM,21.43,410279,8792278,True,1.0000000,1
ACY R7GY04NLZWIT,ACY,16.51,361,5960,True,1.0000000,1
BTWS R735QTJ8XC9X,ADAT,0.69,22446,15487,False,1.0000000,9.0009
ADBE R735QTJ8XC9X,ADBE,66.96,959282,64233522,True,1.0000000,1
ADC R735QTJ8XC9X,ADC,30.5,17573,535976,True,0.8199072,1
ADTK R735QTJ8XC9X,ADEP,11.92,95598,1139528,False,1.0000000,1
ADES T2U42EMCG4TH,ADES,22.23,38794,862390,True,1.0000000,1
ADGE UGWZLLEEJJOL,ADGE,2.25,2100,4725,False,1.0000000,1
ADHD VGRUO5YOUN39,ADHD,19,77951,1481069,False,1,1
ADI R735QTJ8XC9X,ADI,55.79,1826559,101903726,True,0.9085096,1
ADK TONUT0J1I6W5,ADK,4.3,68650,295195,False,0.9567625,1
ADM R735QTJ8XC9X,ADM,45.13,1184089,53437936,True,0.8947734,1
ADMP VMCPV8L4GJTX,ADMP,5.32,39212,208607,True,1.0000000,1
ADMS VPKWM9R1HKRP,ADMS,19.49,10792,210336,True,1.0000000,1
ADNC V6GN4X2207L1,ADNC,12.22,77228,943726,False,1.0000000,1
AUD R735QTJ8XC9X,ADP,79.4,1263370,100311578,True,0.9109471,1
ADRA SJNVOV70T9B9,ADRA,28.95,150,4342,False,0.9129539,1
ADRD SJNVOV70T9B9,ADRD,25.7,10423,267871,False,0.8690061,1
ADRE SJNVOV70T9B9,ADRE,39.131,3947,154450,False,0.9220116,1
ADS S5CWVYVQSODH,ADS,265.9,266677,70909414,True,0.9836729,1
ADSK R735QTJ8XC9X,ADSK,54.07,857104,46343613,True,1.0000000,1
ADT VAEFIDQD0UP1,ADT,33.77,1316605,44461750,False,0.9574522,1
ADTN R735QTJ8XC9X,ADTN,22.47,185996,4179330,True,0.9250336,1
ADUS UH5UMFOX8C4L,ADUS,23.13,12239,283088,True,1.0000000,1
ADVS R735QTJ8XC9X,ADVS,31.49,86263,2716421,False,0.9878321,1
ADX R735QTJ8XC9X,ADX,13.67,30442,416142,True,0.7253936,1
ADXS VKTKU03O6AUD,ADXS,3.45,219446,757088,True,1,1
ADXSW VKTKU03O6AUD,ADXSW,1.28,4050,5184,False,1.0000000,1
AE R735QTJ8XC9X,AE,71.35,4637,330849,True,0.9251136,1
AEB TDWW49RPFOTH,AEB,23.08,12252,282776,False,0.8543679,1
AEC R735QTJ8XC9X,AEC,17.99,112255,2019467,False,0.9614666,1
AED TDWW49RPFOTH,AED,25.36,32057,812965,False,0.7882672,1
AEE R735QTJ8XC9X,AEE,38.51,775977,29882874,True,0.8737084,1
AEF TW3OEG0YBEJP,AEF,25,31285,782125,True,1.0000000,1
AEG R735QTJ8XC9X,AEG,8.93,346561,3094789,True,0.7979780,1
INSUA R735QTJ8XC9X,AEGN,23.09,87489,2020121,True,1.0000000,1
AEGR UQZC400IP6QT,AEGR,34.48,458931,15823940,False,1.0000000,1
AEH T9ID57VJ47Z9,AEH,25.29,30143,762316,False,0.7916905,1
AEHR R735QTJ8XC9X,AEHR,2.14,3803,8138,True,1.0000000,1
AEIS R735QTJ8XC9X,AEIS,19.03,210452,4004901,True,1.0000000,1
AEK V3X2K81CW1NP,AEK,28.76,11787,338994,False,0.7442834,1
AEL SU7Y8YE6CH9H,AEL,24.2,253769,6141209,True,0.9648121,1
AEM R735QTJ8XC9X,AEM,31.51,718927,22653389,True,0.9641872,1
AEOS R735QTJ8XC9X,AEO,11.23,4351766,48870332,True,0.8741395,1
AEP R735QTJ8XC9X,AEP,53.46,1429255,76407972,True,0.8651505,1
AEPI R735QTJ8XC9X,AEPI,36.06,18833,679117,False,0.9879654,1
AER TNUBE7JZ7K2T,AER,48.15,334068,16085374,True,1.0000000,1
AERI VL4ER14J0LLX,AERI,17.18,39983,686907,True,1.0000000,1
AES R735QTJ8XC9X,AES,14.3,3018622,43166294,True,0.8653003,1
AET S0JM7II1BW4L,AET,80.27,1293273,103811023,True,0.9586355,1
AATK RJU02DZWKX2D,AETI,6.27,7373,46228,True,1.0000000,1
ADDM R735QTJ8XC9X,AEY,2.79,805,2245,True,1.0000000,1
AELA RUKYR4R8NF51,AEZS,1.11,243335,270101,True,1.0000000,100
ASFC R735QTJ8XC9X,AF,13.6,119408,1623948,False,0.9664654,1
AFA V9GYB7AMF78L,AFA,24.16,2913,70378,False,0.8321040,1
CTND R735QTJ8XC9X,AFAM,21.79,18642,406209,False,1.0000000,1
AFB SBSAXXUERZ39,AFB,13.75,23360,321200,True,0.8112617,1
AFC TRV23YBSGGO5,AFC,24.91,6305,157057,False,0.7632696,1
AFCB UJ3RD2NWNWIT,AFCB,22.09,403,8902,False,0.9905973,1
AFFX R735QTJ8XC9X,AFFX,8.73,367458,3207908,False,1.0000000,1
AFG R735QTJ8XC9X,AFG,59.82,167167,9999929,True,0.8603702,1
AFH VE2DEWQZ9Y79,AFH,15.65,41716,652855,True,1.0000000,1
AFK U4A32EEF6ZJ9,AFK,33.41,15958,533156,False,0.9050922,1
AFL R735QTJ8XC9X,AFL,63.27,1424942,90156080,True,0.9077675,0.5
AFM VAT77S7W663P,AFM,26.04,4419,115070,False,0.9256870,1
AFOP RZWYXD35KJFP,AFOP,21.67,231802,5023149,False,0.9882813,1
AFQ UQDO9XYT0L7P,AFQ,26.26,5116,134346,False,0.9032599,1
AFSD VAAHQ09OPU1X,AFSD,23.98,21542,516577,False,0.8400093,1
AFSI TNMFTGMMLISL,AFSI,42.55,167327,7119763,True,0.8808771,0.5
AFT UUEEZOQM9HT1,AFT,18.05,23546,425005,True,0.7443070,1
AFW V7QX5B8ZLO4L,AFW,25.53,3999,102094,False,0.8319441,1
AG USGI91RMTXET,AG,8.94,630845,5639754,True,1.0000000,1
AGA 2T,AGA,17.72,1000,17720,False,1.0000000,1
AGC TSWH3I87D4RP,AGC,7.68,33822,259752,True,0.6731029,1
AG R735QTJ8XC9X,AGCO,55.35,725838,40175133,True,0.9629734,1
AGD TKM4N6E26J51,AGD,10.5,12263,128761,True,0.7098476,1
AGEN RRYFU5N1AZQD,AGEN,3.26,161052,525029,True,1.0000000,1
AGF 2T,AGF,16.71,20002,334233,False,1.0000000,1
AGG SSC0EI5J2F6T,AGG,108.64,316609,34396401,False,0.9079143,1
AGI UA4SQEOJKFVP,AGI,8.88,171428,1522280,True,0.9748102,1
PXT R735QTJ8XC9X,AGII,49.33,65800,3245914,True,0.4826335,0.718649
AGIIL VA8ITTJCKBQD,AGIIL,23.78,9751,231878,False,0.7859628,1
AGIO VIHVU20BO679,AGIO,43.96,225497,9912848,True,1.0000000,1
FAMCK R735QTJ8XC9X,AGM,31.64,5430,171805,True,0.9143481,1
AGN R735QTJ8XC9X,AGN,163.12,1277913,208453168,True,0.9992186,1
AGNC U2N08SGALPWL,AGNC,23.54,2918355,68698076,True,0.6198164,1
AGNCB VQIDTG6S3885,AGNCB,24.72,22505,556323,True,0.7391708,1
AGNCP V5F85D5N3JHH,AGNCP,25.83,7913,204392,False,0.7778500,1
AGO SY2SA4YZ4UW5,AGO,25.41,799949,20326704,True,0.9332828,1
AGQ U85WJOCE24BP,AGQ,59.74,132485,7914653,False,1.0000000,1
AGRO UTNTX5V274H1,AGRO,9.94,80381,798987,True,1.0000000,1
AGRX VQS8ADUGURTX,AGRX,6.33,29019,183690,True,1.0000000,1
AGTC VP83T1ZUHROL,AGTC,25.36,11418,289560,True,1.0000000,1
AGU R735QTJ8XC9X,AGU,91.18,347145,31652681,False,0.8762616,1
AGX TVC3VTS86A1X,AGX,33,102430,3380190,True,0.9165499,1
PIOS R735QTJ8XC9X,AGYS,14.52,19247,279466,True,1.0000000,1
AGZ U7GAX8U02I5H,AGZ,112.28,1883,211423,False,0.9422291,1
AHC U02G802FESTH,AHC,12.19,21739,264998,True,0.6473526,1
AHGP TIIB7Z82AFS5,AHGP,62.61,44087,2760287,True,0.6665571,1
AHH VGE2EUUBS2UD,AHH,9.7,16902,163949,True,0.7854013,1
AHL SU7Y8YE6CH9H,AHL,45.46,500405,22748411,True,0.9248853,1
AHP VLR216JERYAT,AHP,16.76,266300,4463188,False,0.8611171,1
AHPI R735QTJ8XC9X,AHPI,2.28,300,684,True,1.0000000,2
AHS S9OHIQOEVVQD,AHS,11.665,129850,1514700,False,1.0000000,1
AHT SRHHJLTAP17P,AHT,10.88,270400,2941952,True,0.6697403,1
FBG R735QTJ8XC9X,AI,27.69,151433,4193179,True,0.5186640,1
AIA TXOSBV8QR5UT,AIA,48.86,6361,310798,False,0.9153351,1
AIB VBFUHXMRXISL,AIB,24.52,8093,198440,False,0.8091432,1
AIF VEG5O7VCCIG5,AIF,18.22,18970,345633,True,0.6788038,1
AIG R735QTJ8XC9X,AIG,55.02,3243630,178464522,True,0.9352542,1
AIMC TOHY4GC11NXH,AIMC,36.69,42720,1567396,True,0.9296237,1
AIN R735QTJ8XC9X,AIN,37.74,52447,1979349,True,0.9420503,1
AINV SXM1OJR3U15X,AINV,8.415,826306,6953364,True,0.6418860,1
AIQ S6P5SJT0JN8L,AIQ,29.89,17902,535090,False,1.0000000,1
AIR R735QTJ8XC9X,AIR,27.52,80266,2208920,True,0.9590626,1
AIRI VHCJ24N8GHGL,AIRI,10.13,2573,26064,True,0.9123944,1
AIRM R735QTJ8XC9X,AIRM,50.21,284428,14281129,False,1.0000000,1
AIRR VOSCNK559P45,AIRR,19.56,16257,317986,False,0.9873500,1
AIRT R735QTJ8XC9X,AIRT,12.32,847,10435,True,1.0000000,1
